"role","area_1","area_2","area_3","area_4","area_5","is_mentor","motivation","tenure","satisfaction_1","satisfaction_2","satisfaction_3","satisfaction_4","satisfaction_5","moments_proud","moments_frustrated","training_1","training_2","training_3","training_4","training_5","training_6","training_7","help_freq","help_speed","completion_freq","completion_challenges","time_1","time_2","time_3","time_4","time_5","time_6","management_1","management_2","management_3","management_4","team_1","team_2","team_3","team_4","support_1","support_2","support_3","support_4","hours_thaddeus","hours_other","num_clients","num_clients_active","workload_1","workload_2","workload_3","workload_4","workload_5","growth_1","growth_2","growth_3","growth_4","resources_valuable","resources_2keep","resources_2improve","additional"
"Non-profit leadership","Anything Kimmie needs! :)",NA,NA,NA,NA,"Yes","Fulfill a requirement (school, program, etc.)","3-5 months","4","5","4","5","4","Helping other interns with anything I can! ","When I have roadblocks that I need information to continue a project, but can't get the assistance I need. ","2","2","2","2","2","2","3","Every few days","More than a week","2","Getting the assistance I need. ","Troubleshooting","Routine meetings","Waiting for information, responses, or decisions","Main tasks","Administrative tasks","Team collaboration","3","3","3","4","3","2","3","4","3","4","3","4","16-20 hours","21-30 hours",NA,NA,"3","4","4","5","5","4","5","5","3","Easier access to roadblocks ","Client presentation meetings","People keep their cameras on during meetings. I also think that there is always room for improvement. ","I do believe that this organization does great work. "
"Care coordinator","Mentoring","i work with care coordination",NA,NA,NA,"No","Fulfill a requirement (school, program, etc.)","1-2 months","5","5","5","5","5","I feel accomplished when I can successfully help clients.","Unresponsiveness of clients.","5","5","5","5","5","5","5","Hardly ever","Within a few hours","5","I do not face challenges when completing my tasks.","Main tasks","Team collaboration","Waiting for information, responses, or decisions","Routine meetings","Administrative tasks","Troubleshooting","5","5","5","5","5","5","5","5","5","5","5","5","16-20 hours","21-30 hours",18,18,"5","5","5","5","5","5","5","5","5",NA,"Everything is working well.",NA,NA
"Case manager","Case management",NA,NA,NA,NA,"No","Gain professional experience","1-2 years","5","5","5","5","5","Seeing my clients grow and better their circumstances","Nonresponsive clients or unwilling clients","3","4","4","5","5","5","5","Every few days","Within a few hours","5","Finding resources for clients/working with the resource navs to find tools for clients","Main tasks","Routine meetings","Team collaboration","Waiting for information, responses, or decisions","Troubleshooting","Administrative tasks","5","5","5","5","5","5","5","5","5","2","4","5","16-20 hours","31-40 hours",5,5,"5","5","5","5","3","5","5","5","2",NA,"The weekly meetings to discuss clients. They allow for collaboration with outside CMs and bring new perspectives to challenging cases","The administrative side has gotten smoother","I have really enjoyed my time here at thaddeus"
"Resource navigator","Workshops","Mentoring",NA,NA,NA,"No","Gain professional experience","3-5 months","5","4","3","3","4","Hearing progress about clients in client meetings.","Time management with other responsibilities.","5","4","4","4","4","4","4","Hardly ever","Within a few hours","5","Time management","Routine meetings","Main tasks","Team collaboration","Waiting for information, responses, or decisions","Troubleshooting","Administrative tasks","3","3","4","4","3","4","3","4","3","3","4","3","6-10 hours","31-40 hours",NA,NA,"4","3","4","4","4","4","4","4","3","Connections with experienced professionals.","Expand on the program development side, allow workshops to receive more feedback.","Mentorship and structure in breakout rooms could be improved. Sometimes people do not show up and interns are unsure of what to do.",NA
"Case manager","Case management","Support groups",NA,NA,NA,"No","Support a cause I care about","1-2 years","5","5","5","5","5","Helping clients achieve goals and watching them grow as individuals make me feel accomplished. I also feel proud when I see CM's that I trained start to stand on their own two feet when working with clients. ","When clients become resistant towards help or change. ",NA,"5","5","5","5","5","5","Hardly ever","Within a few hours","5","I don't find anything challenging. ","Routine meetings","Main tasks","Administrative tasks","Troubleshooting","Waiting for information, responses, or decisions","Team collaboration","5","5","5","5","5","5","5","5","5","1","5","5","11-15 hours","More than 40 hours",9,9,"1","5","5","5","5","5","5","5","5","N/A ","I think what is working well is the buddy system within the case management department of the programs department. ","I think the meeting times should be more spread out as the programs department meetings are all scheduled on one day and that can be hard to attend with my work schedule. ",NA
"Therapist","Therapy",NA,NA,NA,NA,"Yes","Fulfill a requirement (school, program, etc.)","6-11 months","5","5","5","5","5","I am most proud of the treatment plans being utilized by my clients and feel most accomplished","when clients do not do the work and when case management does not respond to requests.","3","2","2","5","3","3","3","Hardly ever","Within a few days","3","codes, working with the other teams to get clients help","Administrative tasks","Main tasks","Routine meetings","Waiting for information, responses, or decisions","Team collaboration","Troubleshooting","4","4","4","3","5","5","3","5","3","4","3","5","16-20 hours","More than 40 hours",8,8,"3","3","3","3","3","4","4","4","4","operations, funding, client outreach etc.","meeting and discussing clients","more structure, less client communication, better understanding of client touch and process",NA
"Resource navigator","Mentoring",NA,NA,NA,NA,"No","Gain professional experience","6-11 months","4","4","4","4","4","I think I start feeling more comfortable to speak in front of people in the meeting!","Sometimes it is hard to find informations","5","5","4","4","4","4","4","Hardly ever","Within a few hours","5","I think when the request is not clear since I'm resource navigator","Routine meetings","Main tasks","Administrative tasks","Team collaboration","Waiting for information, responses, or decisions","Troubleshooting","4","4","4","4","5","5","5","5","5","2","5","5","6-10 hours","11-20 hours",NA,NA,"5","5","5","5","5","5","5","5","5","The mentorship program!","I think we can reorganize the notebook for a bit to make it clear and easy to find info and excluding the outdated informations.","I think it works well for me, maybe wishing meeting people in real life some day!",NA
"Care coordinator","Housing","Case management",NA,NA,NA,"No","Gain professional experience","3-5 months","5","5","5","5","5","Speaking to others in the organization and everyone being so kind and understanding","Probably when clients aren't responsive!","5","2","4","2",NA,NA,NA,"Every month","Within a few hours","4","Just time management!","Main tasks","Administrative tasks","Waiting for information, responses, or decisions","Team collaboration","Troubleshooting","Routine meetings","5","4","5","5","5","5","5","5","5","2","5","5","11-15 hours","21-30 hours",18,18,"5","5","5","5","4","5","5","5","5","Maybe professionalism workshops with clients for those who plan on becoming therapists in the future. Or socialization classes that help deal with harsher clients. ","I like the weekly meetings and the client chats to keep everyone on the same page.","Organization of the materials and resources for new staff it was quite confusing to find things at first since every notebook looks so similar. ","Nothing so far!"
"Care coordinator","Workshops","Support groups","Mentoring","Community outreach","Care Coordination ","No","Gain professional experience","6-11 months","5","4","5","5","5","I feel most proud and accomplished when I see the direct impact of our work at Thaddeus Resource Center, especially when we help clients move into better, more stable situations. It’s incredibly rewarding to know that the support we provide is making a real difference in someone’s life. Seeing a client reach a milestone, gain independence, or express gratitude for our help reminds me why the work we do is so important.","I feel most challenged or frustrated when a client does not respect my boundaries or consistently pushes against them. It can also be difficult when we are unable to reach clients, especially when we know they need support. These situations can be emotionally draining and make it harder to provide the help we want to give, but I try to stay patient and focused on finding ways to re-engage or set healthy limits.","3","3","3","2","5","5","4","Every month","Within a few days","4","Some of the challenges I most often face when trying to complete my tasks include technical issues, unresponsiveness from someone I’m supposed to be working with or receiving support from, and unexpected personal matters that can arise. These challenges can sometimes delay progress, but I do my best to stay flexible and find solutions so I can continue moving forward with my responsibilities.","Waiting for information, responses, or decisions","Main tasks","Troubleshooting","Administrative tasks","Team collaboration","Routine meetings","4","4","3","5","4","5","5","5","3","3","5","5","16-20 hours","21-30 hours",16,16,"5","5","5","5","5","5","5","4","3","I’m not entirely sure what specific resource or opportunity would be most valuable right now, but I believe that any help is good help. I’m always open to learning and growing, so any support, guidance, or professional development that can improve my skills or help me be more effective in my role would be appreciated.","The buddy system is working really well and should definitely be maintained. It helps build teamwork and provides support when needed. The way tasks are distributed is also effective, and the resources we have access to make it easier to do our jobs well. These are strengths of the Programs department that should be continued and possibly expanded.","One thing I would like to see improved in the Programs department is more training on Microsoft Teams, so that everyone feels confident using it for communication and collaboration. I would also like to see a stronger commitment and support directed toward the Mentoring and Housing departments, as they play a vital role in the overall success of our clients and could benefit from more consistent attention and resources.",NA
"Resource navigator","Housing","Workshops",NA,NA,NA,"No","Gain professional experience","1-2 months","5","5","5","5","5","When I'm able to find resources for clients that benefit them and their situation","When resources are hard to come by before a deadline","4","5","2","2","5","5","4","Hardly ever","Within a few hours","5","Not being able to find resources that fit a client's criteria","Main tasks","Routine meetings","Waiting for information, responses, or decisions","Team collaboration","Troubleshooting","Administrative tasks","5","5","5","5","5","5","5","5","5","3","5","5","11-15 hours","21-30 hours",NA,NA,"5","5","5","5","5","5","5","5","5","I think learning how to interact with others professionaly is especially valuable","Open communication among each other","More teamwork ragarding completing tasks",NA
"Resource navigator","Mentoring","Workshops","Support groups",NA,NA,"No","Gain professional experience","1-2 months","4","4","5","3","4","I felt proud in moments where I was able to connect clients to resources, and learned how to navigate and find those resources on my own.","I do feel challenged in navigating my tasks and responsibilities. For example, I'm tasked with making a workshop but I'm not clear on what the outline of a workshop entails, I feel like a lot of learning is self-learning. ","4","1","1","1","3","4","3","Every month","Within a few hours","4",NA,"Main tasks","Troubleshooting","Waiting for information, responses, or decisions","Administrative tasks","Routine meetings","Team collaboration","4","5","3","5","4","4","5","5","5","1","5","4","11-15 hours","21-30 hours",0,0,"5","5","5","5","5","4","5","3","4","I think maybe more mentoring and understanding of where everyone at Thaddeus is in their lives, maybe could help","Buddy system! It is very helpful","More clear training and meetings for new interns",NA
"Case manager","Case management",NA,NA,NA,NA,"No","Gain professional experience","6-11 months","5","5","5","5","5","I feel most proud when I am able to get a client to respond to me/ confide in me when they need assistance. I love having “break-through” moments as it reinforces the idea that the work I am doing is actually very meaningful and important. ","I feel most frustrated when a client chooses to not accept my assistance or services I have provided. There have been a few clients I have dealt with that desperately need certain resources but do not have the personal motivation to actually make the changes needed in their lives to succeed or make progress. ","4","5","5","4","2","3","4","Hardly ever","Within a few minutes","4","I find it very hard to write case notes. I don’t feel I have the proper knowledge to write effective case notes and I have been told there are several ways to do it and am still unsure of which method is the appropriate way.","Main tasks","Routine meetings","Team collaboration","Troubleshooting","Waiting for information, responses, or decisions","Administrative tasks","5","5","5","5","5","5","5","5","4","2","5","5","11-15 hours","31-40 hours",6,6,"5","5","5","4","4","5","5","5","5","I feel case managers should receive more specific training outside of “buddies” when onboarding. I was originally a navigator and transitioned into a case manager once I joined Thaddeus, so my experience may be different from what is typical. However, there were some tasks that I had to learn on my own and even some that I am still unsure of (i.e. how and where to write and submit case notes). I feel like we need more information on what is expected of us, where to find internal resources, and what tasks we should be doing daily when documentation interactions with clients. ","I enjoy our weekly meetings, and feel the break-out rooms in our Program Department meeting has significantly helped my mental health while working in this role. Being able to discuss how case management impacts my own mental health with other case managers and our mentor has really helped me gain a lot of insight into the role and has helped me feel heard and cared for. ","I feel navigators should get to expand on their roles more. I also feel that case managers, life coaches, care coordinators, and therapists should be more encouraged to partake in some of the program development roles such as the mentoring team and the housing teams. I feel those teams would greatly benefit from input from all of the people who work with clients at Thaddeus. ",NA
"Therapist","Therapy",NA,NA,NA,NA,"No","Fulfill a requirement (school, program, etc.)","6-11 months","4","5","4","4","4","I feel most proud of my work when clients have ""AH-HA"" moments about their interpersonal struggles because of how dedicated they are to change and get the most out of therapy. ","I feel most frustrated when clients don't take therapy seriously or bail on their session. I think the issue with unreliable clients is that we either don't have any effective procedures in place to hold them accountable or the clients don't value our time because they don't take it seriously, which sometimes offends me.","4","4","5","3","4","5","4","Every month","Within a few minutes","4","Sometimes I find it hard to complete tasks when clients are no-shows or waste my time. ","Routine meetings","Main tasks","Troubleshooting","Administrative tasks","Team collaboration","Waiting for information, responses, or decisions","4","4","4","4","5","5","5","5","4","3","5","5","11-15 hours","11-20 hours",5,5,"5","5","5","5","5","5","5","4","4","I don't know really. All the resources in the OneNote are very helpful. I would like if therapists had their own google voice line as I did have clients question the confidentiality ethics. They didn't like that they were receiving multiple text messages from different staff members through the same number. ","I like the buddy system and the client presentation weekly meetings.","I would like the calling and messaging system to be improved. Clients get confused when we call from one number, but text from another.",NA
"Non-profit leadership","Programs Department",NA,NA,NA,NA,"No","Gain professional experience","1-2 years","5","5","4","5","5","When I was a case manager helping clients & now that I am a nonprofit leadership and management intern I feel proud and accomplished when I help the other interns in the programs department complete tasks that they were having difficulty with","I've never felt frustrated","4","4","4","4","4","4","4","Every month","Within a few days","4","Only if I need clarification on exactly how something is supposed to be done, sometimes it takes Kimmie a while to respond, but I just ask someone else like Mary. & for clarification, the reason I put fair above for training questions is because I had to learn how to do everything on my own. There should be a second orientation for just case managers, therapists, whatever your role is... I was so overwhelmed as this was my first position, still in college, that I didn't retain any info from orientation & there should be a day 2 of orientation for role specific training & recordings to go back to if there's questions or something you need to remember. I had a good buddy, Annie. If it wasn't for her, I wouldn't have learned anything that I didn't teach myself. There should also be client relation training for case managers. How to talk to clients, I googled it & practiced on my own. ","Team collaboration","Waiting for information, responses, or decisions","Administrative tasks","Main tasks","Routine meetings","Troubleshooting","4","4","4","4","5","5","5","5","4","3","5","5","16-20 hours","21-30 hours",NA,NA,"5","5","5","5","5","5","5","5","5","If I could do my clinical counseling internship here for my Masters degree! I live in NYC, so my supervisor would have to be licensed in NYS. It would be a dream come true if Kimmie hired someone in NYS to work with me. I love being at Thaddeus & I'll be sad to leave when I have to do my practicuum elsewhere. ","Everything is great","Case management mentors, should be doing workshops like Nikki used to, to expand the skills of the interns, especially if they're going into social work or counseling... ","Thaddeus is great and does a lot for women & children. I want to open my own nonprofit with the knowledge I've learned from Kimmie & my colleagues. This was the next opportunity I could've gotten! "
"Case manager","Case management","Support groups",NA,NA,NA,"No","Gain professional experience","6-11 months","5","5","5","5","5","The moments that make me feel most proud are when im able to form a connection with a client and im able to get them the resources they need or offer them a safe place to vent.","The moments that make me feel most challenged are when clients are unresponsive.","3","4","4","4","5","5","5","Hardly ever","Within a few hours","4","Finding a balance with my other responsibilities outside of Thaddeus.","Main tasks","Routine meetings","Troubleshooting","Administrative tasks","Team collaboration","Waiting for information, responses, or decisions","5","4","4","5","5","5","4","5","5","2","4","5","11-15 hours","21-30 hours",5,5,"4","5","5","4","4","5","5","5","5","The experience of working directly with clients and gaining the skills that I can take elsewhere.","The support that we feel when a question is asked or we need help battling a situation with a client.","The meetings can sometimes feel a bit long. Maybe dividing them within different days.",NA
"Resource navigator","Mentoring","Support groups",NA,NA,NA,"No","Gain professional experience","1-2 months","5","2","2","4","5","When I complete a task that was assigned to me. ","Having to sit through the client presentation meetings as a resource navigator. I do not feel like it is engaging because I do not actively work with the clients discussed (i sit on mute and listen every meeting).","3","4","2","1","2","3","4","Hardly ever","Within a few days","4","Finding credible and useful resources for clients. Sometimes the resources in the Resource notebook are not updated, so finding resources outside of what is already deemed credible by the Thaddeus can be tricky.","Routine meetings","Main tasks","Administrative tasks","Team collaboration","Troubleshooting","Waiting for information, responses, or decisions","3","4","5","4","4","3","5","3","5","1","3","5","Less than 5 hours","11-20 hours",NA,NA,"5","5","5","4","3","2","4","3","3","Finding ways to(or incorporating) Psychology-based resources that Thaddeus can use, while also feeling like a true Psychology internship. ","The check-ins that we do should be maintained because they allow us the opportunity to ask for support or guidance. ","More psychology-related activities or resources that the resource navigator can use. ",NA
"Resource navigator","Housing","Workshops",NA,NA,NA,"No","Gain professional experience","3-5 months","5","5","5","5","5","When I complete a task on time, with more resources than needed","Lack of response or communication","4","5","4","4","5","5","5","Every month","Within a few days","5","Lack of information","Main tasks","Routine meetings","Team collaboration","Administrative tasks","Troubleshooting","Waiting for information, responses, or decisions","4","5","5","5","5","5","5","5","4","3","4","5","11-15 hours","31-40 hours",NA,NA,"5","5","5","5","5","5","5","5","5",NA,"The team meetings, it's nice seeing everyone and getting a chance to connect with them",NA,NA
"Resource navigator","Housing",NA,NA,NA,NA,"No","Learn new skills","3-5 months","5","5","5","5","5","When I am able to successfully complete a task. ","When I am not able to figure out where resources are. ","4","4","4","4","4","4","4","Hardly ever","Within a few minutes","5","Trying to figure out the best options","Routine meetings","Team collaboration","Main tasks","Administrative tasks","Troubleshooting","Waiting for information, responses, or decisions","5","5","5","5","5","5","5","5","5","5","5","5","11-15 hours","11-20 hours",NA,NA,"5","5","5","5","5","5","5","5","5","A resource that would be most valuable to me is a step by step tutorial on understanding one note. ","The communication between colleagues is great, and should be maintained. ",NA,NA
"Therapist","Therapy",NA,NA,NA,NA,"No","Fulfill a requirement (school, program, etc.)","6-11 months","5","5","5","5","5","When I see client progress.","When clients confirm and do not show. ","5","3","3","5","4","5","5","Hardly ever","Within a few days","4","Just personal challenges, nothing that has to do with the organization. ","Main tasks","Waiting for information, responses, or decisions","Routine meetings","Administrative tasks","Team collaboration","Troubleshooting","4","4","4","4","4","4","4","4","4","4","4","4","11-15 hours","More than 40 hours",NA,NA,"5","5","5","5","5","5","5","5","5","More resources to give to clients if they are on a wait list for a Case Manager.","I do enjoy the case note format as it is easy to navigate. ","I think maybe having seperate meetings for each individual program may be beneficial.","Nothing! I appreciate the opportunity to be here!"
"Therapist","Therapy",NA,NA,NA,NA,"Yes","Gain professional experience","More than 2 years","5","5","5","5","5","When my clients make progress and i can see a positive change in them. I feel fulfilled when my clients are meeting their goals. ","When clients don't take the steps to help themselves. Theres only so much we can do. ","5","5","5","5","5","5","5","Hardly ever","Within a few days","4","N/A ","Main tasks","Administrative tasks","Troubleshooting","Routine meetings","Team collaboration","Waiting for information, responses, or decisions","5","5","5","5","5","5","5","5","3","3","5","5","6-10 hours","11-20 hours",7,7,"5","5","5","5","5","5","5","5","5",NA,"Team collaboration ","Maybe somehow having an easier way of streamlining training for new interns. I know they have buddies but sometimes the buddies arent always available to help right when they need it which in turn can slow down completing tasks.","n/A "
"Care coordinator","Mentoring","Support groups",NA,NA,NA,"No","Support a cause I care about","3-5 months","4","3","3","3","3","When clients feel supported and get the care they need","When I fall behind with client check-ins and assigned tasks","4","2","2","4","4","4","4","Hardly ever","Within a few minutes","3","Staying organized or staying on track. I think that we should be trained on the planner or to do lists to make sure that we keep up with all the assigned tasks with clients, groups, support groups","Main tasks","Administrative tasks","Routine meetings","Troubleshooting","Team collaboration","Waiting for information, responses, or decisions","3","4","4","3","4","4","4","4","4","2","4","4","6-10 hours","11-20 hours",13,13,"4","4","4","4","4","3","2","4","2","Opportunities to move around in different departments either simultaneously or during our year long internship","Team collaboration","Planners for the clients and groups ",NA
